departure,arrival,flights,departure_lat,departure_lng,arrival_lat,arrival_lng,departure_centrality,arrival_centrality,airline_centrality,year,node_dc,urban_group
SHA,PEK,13887,31.196099,121.339766,40.084152,116.592735,0.748768473,1.295566502,0.000399754,2015,0.358621,yrd
PEK,SHA,13856,40.084152,116.592735,31.196099,121.339766,1.295566502,0.748768473,0.000382187,2015,0.887356,bth
JHG,KMG,12785,21.972467,100.76475,25.101944,102.929169,0.113300493,0.926108374,0.000645548,2015,0.085057,none
SZX,SHA,11629,22.63925,113.8106,31.196099,121.339766,0.980295567,0.748768473,0.000206868,2015,0.63908,prd
SHA,SZX,11599,31.196099,121.339766,22.63925,113.8106,0.748768473,0.980295567,0.000220921,2015,0.358621,yrd
KMG,JHG,11517,25.101944,102.929169,21.972467,100.76475,0.926108374,0.113300493,0.000635336,2015,0.641379,none
CTU,PEK,11463,30.57852,103.946999,40.084152,116.592735,1.004926108,1.295566502,0.001202562,2015,0.721839,none
PEK,CTU,11419,40.084152,116.592735,30.57852,103.946999,1.295566502,1.004926108,0.00129182,2015,0.887356,bth
CAN,SHA,10818,23.392429,113.298698,31.196099,121.339766,1.064039409,0.748768473,0.000172417,2015,0.675862,prd
SHA,CAN,10794,31.196099,121.339766,23.392429,113.298698,0.748768473,1.064039409,0.000171451,2015,0.358621,yrd
SZX,PEK,10163,22.63925,113.8106,40.084152,116.592735,0.980295567,1.295566502,0.000533939,2015,0.63908,prd
PEK,SZX,10139,40.084152,116.592735,22.63925,113.8106,1.295566502,0.980295567,0.000566868,2015,0.887356,bth
CAN,PEK,9298,23.392429,113.298698,40.084152,116.592735,1.064039409,1.295566502,0.000366864,2015,0.675862,prd
PEK,CAN,9296,40.084152,116.592735,23.392429,113.298698,1.295566502,1.064039409,0.000354237,2015,0.887356,bth
CTU,CAN,8639,30.57852,103.946999,23.392429,113.298698,1.004926108,1.064039409,0.000625252,2015,0.721839,none
CAN,CTU,8618,23.392429,113.298698,30.57852,103.946999,1.064039409,1.004926108,0.000646117,2015,0.675862,prd
XMN,SHA,8266,24.544029,118.127701,31.196099,121.339766,0.719211823,0.748768473,0.000123803,2015,0.436782,none
XIY,PEK,8260,34.438157,108.764819,40.084152,116.592735,1.024630542,1.295566502,0.000910789,2015,0.770115,none
SHA,XMN,8230,31.196099,121.339766,24.544029,118.127701,0.748768473,0.719211823,0.000129202,2015,0.358621,yrd
HGH,PEK,8120,30.2295,120.434402,40.084152,116.592735,0.866995074,1.295566502,0.000451668,2015,0.602299,yrd
PEK,HGH,8105,40.084152,116.592735,30.2295,120.434402,1.295566502,0.866995074,0.000466731,2015,0.887356,bth
HGH,CAN,8086,30.2295,120.434402,23.392429,113.298698,0.866995074,1.064039409,0.000250325,2015,0.602299,yrd
CAN,HGH,8085,23.392429,113.298698,30.2295,120.434402,1.064039409,0.866995074,0.000264721,2015,0.675862,prd
PEK,XIY,8020,40.084152,116.592735,34.438157,108.764819,1.295566502,1.024630542,0.001076017,2015,0.887356,bth
CKG,CAN,7989,29.71921,106.641602,23.392429,113.298698,0.985221675,1.064039409,0.000478804,2015,0.696552,none
CAN,CKG,7987,23.392429,113.298698,29.71921,106.641602,1.064039409,0.985221675,0.000497796,2015,0.675862,prd
PEK,KMG,7974,40.084152,116.592735,25.101944,102.929169,1.295566502,0.926108374,0.001645549,2015,0.887356,bth
KMG,PEK,7924,25.101944,102.929169,40.084152,116.592735,0.926108374,1.295566502,0.001611036,2015,0.641379,none
CKG,PEK,7683,29.71921,106.641602,40.084152,116.592735,0.985221675,1.295566502,0.001088006,2015,0.696552,none
PEK,CKG,7664,40.084152,116.592735,29.71921,106.641602,1.295566502,0.985221675,0.001152264,2015,0.887356,bth
KMG,CAN,7267,25.101944,102.929169,23.392429,113.298698,0.926108374,1.064039409,0.000764649,2015,0.641379,none
SZX,HGH,7249,22.63925,113.8106,30.2295,120.434402,0.980295567,0.866995074,0.000266529,2015,0.63908,prd
HGH,SZX,7200,30.2295,120.434402,22.63925,113.8106,0.866995074,0.980295567,0.000269456,2015,0.602299,yrd
SZX,CKG,7034,22.63925,113.8106,29.71921,106.641602,0.980295567,0.985221675,0.000570636,2015,0.63908,prd
CKG,SZX,7010,29.71921,106.641602,22.63925,113.8106,0.985221675,0.980295567,0.000570404,2015,0.696552,none
DLC,PVG,6975,38.96566,121.538597,31.14337,121.805199,0.63546798,1.004926108,0.000372907,2015,0.441379,none
PVG,DLC,6969,31.14337,121.805199,38.96566,121.538597,1.004926108,0.63546798,0.000417337,2015,0.772414,yrd
PVG,SHE,6850,31.14337,121.805199,41.639839,123.483398,1.004926108,0.561576355,0.000320226,2015,0.772414,yrd
SHE,PVG,6842,41.639839,123.483398,31.14337,121.805199,0.561576355,1.004926108,0.000264393,2015,0.445977,none
CTU,SZX,6581,30.57852,103.946999,22.63925,113.8106,1.004926108,0.980295567,0.000610879,2015,0.721839,none
SZX,CTU,6580,22.63925,113.8106,30.57852,103.946999,0.980295567,1.004926108,0.00061616,2015,0.63908,prd
PEK,HRB,6542,40.084152,116.592735,45.623402,126.250298,1.295566502,0.669950739,0.001256126,2015,0.887356,bth
HRB,PEK,6530,45.623402,126.250298,40.084152,116.592735,0.669950739,1.295566502,0.001288135,2015,0.452874,none
CAN,KMG,6431,23.392429,113.298698,25.101944,102.929169,1.064039409,0.926108374,0.000796095,2015,0.675862,prd
KMG,CKG,6430,25.101944,102.929169,29.71921,106.641602,0.926108374,0.985221675,0.000935536,2015,0.641379,none
CTU,KMG,6372,30.57852,103.946999,25.101944,102.929169,1.004926108,0.926108374,0.0011251,2015,0.721839,none
CKG,KMG,6357,29.71921,106.641602,25.101944,102.929169,0.985221675,0.926108374,0.000929563,2015,0.696552,none
KMG,CTU,6339,25.101944,102.929169,30.57852,103.946999,0.926108374,1.004926108,0.001154448,2015,0.641379,none
TAO,SHA,6310,36.266102,120.374397,31.196099,121.339766,0.60591133,0.748768473,0.000201805,2015,0.445977,none
DLC,PEK,6265,38.96566,121.538597,40.084152,116.592735,0.63546798,1.295566502,0.000548598,2015,0.441379,none
